"lang"
{
	"Language"		"schinese"
	"Tokens"
	{

		//-----------------------------------------------------------------------------
		// Upgrades: Weapon
		//-----------------------------------------------------------------------------

		//Basic Magazine
		"upgrade_clip_size_desc"			"增加 <span class=\"highlight\">基础弹匣</span>。"

		//Extended Magazine
		"upgrade_clip_size_fixed_desc"		"增加 <span class=\"highlight\">基础弹匣</span>。"

		//Extra Large Magazine
		"upgrade_clip_size_fixed_t3_desc"		"大幅增加 <span class=\"highlight\">基础弹匣</span>。"

		//Big Clip
		"upgrade_clip_size_2_desc"			"大增加 <span class=\"highlight\">基础弹匣</span>。"

		//Extra Large Magazine
		"upgrade_clip_size_3_desc"			"大幅增加 <span class=\"highlight\">基础弹匣</span>。"

		//Ammo Scavenger
		"upgrade_ammo_scavenger_desc"		"每次<span class=\"highlight\"> 正补 或 反补 魂灵球 </span>时，都会<span class=\"highlight\">回复些许弹药和获得额外魂力</span>。可以叠加。"
		"AmmoPerSoul_label"					"每个魂灵球弹药"
		"SpiritPowerPerSoul_label"			"每个魂灵球魂力"
		"AmmoScavengerDuration_label"			"持续时间"
		"AmmoScavengerDuration_postfix"		"s"

		//Stabilizer
		"upgrade_stabilizer_desc"		"Removes the <span class=\"highlight\">movement speed penalty</span> while shooting, and increases <span class=\"highlight\">bullet speed</span>。"

		//Melee Lifesteal
		"upgrade_lifestrike_gauntlets_desc"	"每隔一段时间你对敌方单位的<span class=\"highlight\">近战攻击</span>会<span class=\"highlight\">治疗你所造成的近战伤害的{s:LifestrikeHealPercent}%</span>加上{s:LifestrikeHeal}。对非英雄目标的治疗率为 {s:NonHeroHealPct}%。"

		//Tesla Bullets
		"upgrade_chain_lightning_desc"	"你的子弹有几率<span class=\"highlight\">电击</span>你的目标。 电击会跳到附近的敌人身上。"

		//Galvanic Storm
		"upgrade_galvanic_storm_passive1"	"你的子弹有几率 <span class=\"highlight\">电击</span> 目标。电击会跳到附近的敌人身上。"
		"upgrade_galvanic_storm_passive2"	"当你的魂力护盾被破坏时，你会获得 <span class=\"highlight\">{s:BuffDamageMult}倍电击伤害</span> 和增加的 <span class=\"highlight\">移动速度</span>"
		"BuffDamageMult_label"							"电击倍率"
		"BuffDamageMult_postfix"							"x"
		"GalvanicBuffDuration_label"						"持续"
		"GalvanicBuffDuration_postfix"					"s"

		//Fire Rate
		"upgrade_attack_speed_1_desc"	"增加你的 <span class=\"highlight\">射速</span>。"

		//Basic Fire Rate
		"upgrade_small_attack_speed_desc"	"增加你的 <span class=\"highlight\">射速</span>。"

		//Silence Glyph
		"upgrade_targeted_silence_desc"	"选定一个敌方英雄目标，使用后发射一发投射物，击中敌方英雄目标时施加 <span class=\"highlight\">沉默</span> 并且施加 <span class=\"highlight\">减少魂力抗性</span>。"

		//EMP Bullets
		"upgrade_proc_silence_desc"		"你的子弹会给敌方英雄施加 <span class=\"highlight\">EMP电荷</span>，使其 <span class=\"highlight\">无法使用技能</span>。效果消失后，目标在 <span class=\"highlight\">{s:ImmunityDuration}秒</span> 内对EMP弹药免疫。"
		"upgrade_proc_silence/modifier_citadel_silence_proc_watcher/modifier_citadel_base_buildup"	"沉默堆叠中..。"

		//Silencer
		"upgrade_silencer_active"		"使用后在接下来的 {s:AbilityDuration}秒内, <span class=\"highlight\">所有子弹击中敌人造成沉默</span>。 沉默会阻止目标使用能力。 沉默不会中断持续施法技能。"
		"upgrade_silencer_passive1"		"你的子弹会对消声目标造成额外<span class=\"highlight\">+{s:BonusBulletDamageToEMPTargets}% 伤害</span>。"
		"upgrade_silencer_passive2"		"你的子弹会在敌方英雄身上形成 <span class=\"highlight\">EMP</span> , 阻止他们使用能力。"
		"SilencerSlowPercent_label"		"子弹减速"
		"SilencerSlowPercent_postfix"	"%"
		"SilencerSlowPercent_prefix"	"+"

		//Magitech Rounds
		"upgrade_proc_tech_damage_desc"	"Your bullets also deal your <span class=\"highlight\">base bullet damage [{s:BaseDamagePerShot}] </span> as spirit damage.  Magitech Rounds receives <span class=\"highlight\">{s:SpellAmplificationMultiplier}x</span> amplification from <span class=\"highlight\">Spirit Power</span>. Shotguns split the damage between each pellet. This effect can only happen once every {s:ProcCooldown}s。"
		
		//Slowing Bullets
		"upgrade_slowing_bullets_desc"	"你的子弹附加 <span class=\"highlight\">减少移速</span> 。"
		"upgrade_slowing_bullets/modifier_slowing_bullets_proc/modifier_slow_base"					"移速减速"

		//Inhibitor
		"upgrade_inhibitor_desc"	"你的子弹击中敌人时附加 <span class=\"highlight\">减少移速</span> 和减少目标 <span class=\"highlight\">输出伤害</span> 减益状态。"
		"modifier_inhibitor_debuff"	"抑制弹药"
		"OutgoingAbilityDamagePenaltyPercent_label"	"伤害惩罚"
		"OutgoingAbilityDamagePenaltyPercent_postfix"	"%"

		//Armor Piercing Rounds
		"upgrade_armor_reduction_debuff_desc"	"Your bullets reduce the target's <span class=\"highlight\">bullet resistance by {s:ResistReduction}%</span> of their current value for {s:AbilityDuration}s and deal bonus damage <span class=\"highlight\">against bullet shields</span>。"
		"modifier_armor_breaking_bullets"	"Armor Piercing Rounds"
		
		//Detention Rounds
		"upgrade_weapon_detention_ammo_desc"	"Your bullets build up on enemies, causing them to be <span class=\"highlight\">tethered</span> to their position。"
		"modifier_upgrade_detention_ammo_detaining"				"Detaining..。"
		"Detained"	"Detained"
		"detention_immune"		"Detention Immune"
		"ImmunityDuration_label"		"Immunity Duration"
		"ImmunityDuration_postfix"	"s"

		//Leveler
		"upgrade_leveler_active_desc"	"Applies a <span class=\"highlight\">tether</span> to the target and reduces the <span class=\"highlight\">bullet resist</span> of both <span class=\"highlight\">you and them</span>。"
		"upgrade_leveler_passive_desc"				"Your headshot deals bonus damage and heavily slows enemy fire rate。"
		"upgrade_leveler_innate_desc"	"Close Range<br>Detention Rounds"

		//Hunter's Aura
		"upgrade_bullet_armor_reduction_aura_desc"		"降低附近敌人的<span class=\"highlight\">物理抗性和射速</span>。如果附近只有一名敌方英雄，<span class=\"highlight\">则效果为三倍</span>。"
		"modifier_bullet_armor_reduction"							"物理抗性减少"
		"upgrade_bullet_armor_reduction_aura/modifier_bullet_armor_reduction_aura/modifier_bullet_armor_reduction"	"物理抗性减少"

		//Adrenaline Rush
		"upgrade_nearby_enemy_boost_desc"	"Gain bonus <span class=\"highlight\">Weapon Damage</span> and <span class=\"highlight\">Fire Rate</span> when there are two or more enemy heroes nearby。"

		//Heroic Aura
		"upgrade_dps_aura_active_desc"	"使用后在持续时间内为你和的附近友军增加<span class=\"highlight\">额外移动速度</span> 和 <span class=\"highlight\">射速</span> 。"
		"upgrade_dps_aura_desc"			"被动为范围内的召唤物增加额外<span class=\"highlight\">射速</span> 。"
		"modifier_dps_aura_active"		"英雄光环开启"
		"modifier_dps_aura_player"		"英雄光环射速"

		"BonusBaseDamage_label"			"基础子弹和近战伤害"
		"BonusBaseDamage_postfix"		"%"

		//Fire Rate Aura
		"upgrade_fire_rate_aura_desc"	"Provides a <span class=\"highlight\">Fire Rate</span> increase to you and nearby teammates.  Different bonus to non-Heroes"
		"upgrade_fire_rate_aura/modifier_fire_rate_aura/modifier_fire_rate_aura_target"		"Fire Rate Aura"

		//Warp Stone
		"upgrade_warp_stone_desc"	"使用后向瞄准的地方<span class=\"highlight\">传送</span> 一小段距离，获得额外 <span class=\"highlight\">物理抗性</span>。"
		"WarpStoneRange_label"		"传送距离"
		"WarpStoneRange_postfix"		"m"
		"modifier_warp_stone_caster"	"传送符石"
		"CasterBuffDuration_label"	"增益持续时间"
		"CasterBuffDuration_postfix"	"s"
		"CasterSlowPercent_label"		"自我减速"
		"CasterSlowPercent_postfix"	"%"

		//Torment Pulse
		"upgrade_tech_damage_pulse_desc"	"定期对附近最近的<span class=\"highlight\">两个敌方目标造成魂力伤害</span>。"

		//Mystic Burst
		"upgrade_magic_burst_desc"	"如果技能在单次造成 {s:MinimumDamage} 或更多伤害，则会造成<span class=\"highlight\">额外伤害</span>。"
		"MagicBurstDamage_label"		"额外伤害"

		//Improved Burst
		"upgrade_magic_shock_desc"	"如果造成的魂力伤害在单次造成{s:MinimumDamage}或更多伤害，则会增加<span class=\"highlight\">额外伤害和减少移速</span>。目标在受到高阶迸发伤害后的<span class=\"highlight\">{s:ReProcLockoutTime}s</span>内免疫高阶迸发的效果。"
		"MagicShockDamage_label"		"最大生命值伤害"
		"MagicShockDamage_postfix"	"%"

		//Mystic Reverb
		"upgrade_tech_bleed_desc" "浸染一个技能，对目标范围内敌人施加减少移速，在短暂延迟后对目标周围半径内造成额外 <span class=\"highlight\"> {s:TechDamagePercent}% 的伤害</span> 。"
